"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"1/22/2013","Tresidder Express","TRESIDDER EXPRESS #68006214345000010037303730              94305 320130220121336660","7.57","debit","Uncategorized","Hilton HHonors Card","",""
"1/22/2013","Amazon","AMAZON.COM          AMZN.COM/BIU9HLGT0OXMC MERCHANDISE 320130220121336658","49.67","debit","Shopping","Hilton HHonors Card","",""
"1/22/2013","Zipcar","ZIPCAR.INC ZIPCAR   CAMBRIDGEQ7F66F328   AUTOMOBILE ASSOC 320130220121336659","9.23","debit","Rental Car & Taxi","Hilton HHonors Card","",""
"1/21/2013","St Madeline Sophie","ST. MADELINE SOPHIE BELLEVUE85309603021 425-747-6770 320130210120539945","60.00","debit","Restaurants","Hilton HHonors Card","",""
"1/18/2013","Shell","SHELL OIL 5744467690PALO ALTO0272245     AUTO FUEL DISPENSER 320130180072463509","40.00","debit","Gas & Fuel","Hilton HHonors Card","",""
"1/17/2013","American Express Comnew","AMERICAN EXPRESS COMNEW YORKShop Small Offer 320130170059367110","25.00","credit","Credit Card Payment","Hilton HHonors Card","",""
"1/17/2013","Amazon","AMAZON.COM          AMZN.COM/BIX3GOYWA5991 MERCHANDISE 320130170059367112","20.50","debit","Shopping","Hilton HHonors Card","",""
"1/17/2013","Zipcar","ZIPCAR.INC ZIPCAR   CAMBRIDGEXA4CFBF4D   AUTOMOBILE ASSOC 320130170059367111","46.16","credit","Rental Car & Taxi","Hilton HHonors Card","",""
"1/16/2013","Zipcar","ZIPCAR.INC ZIPCAR   CAMBRIDGETA488D971   AUTOMOBILE ASSOC 320130160046675965","46.16","debit","Rental Car & Taxi","Hilton HHonors Card","",""
"1/16/2013","Amazon","AMAZON.COM          AMZN.COM/BIN7TNXX50KLC MERCHANDISE 320130160046675964","13.64","debit","Shopping","Hilton HHonors Card","",""
"1/16/2013","Amazon","AMAZON.COM          AMZN.COM/BIVIDZ0CEIY33 MERCHANDISE 320130160046675963","10.83","debit","Shopping","Hilton HHonors Card","",""
"1/15/2013","Amazon","AMAZON SERVICES-KIND866-321-885NRHAR5FMR6G DIRECT MKTG INTERNET 320130150034033093","10.94","credit","Shopping","Hilton HHonors Card","",""
"1/15/2013","Amazon","AMAZON SERVICES-KIND866-321-885SSE5868J6BG DIRECT MKTG INTERNET 320130150034033094","8.51","credit","Shopping","Hilton HHonors Card","",""
"1/15/2013","Amazon","AMAZON SERVICES-KIND866-321-885J2N19R16BB0 DIRECT MKTG INTERNET 320130150034033095","10.94","credit","Shopping","Hilton HHonors Card","",""
"1/15/2013","Amazon","AMAZON SERVICES-KIND866-321-885HN8DQK59CHH DIRECT MKTG INTERNET 320130150034033091","8.09","credit","Shopping","Hilton HHonors Card","",""
